cve_ent,nom_ent,cve_mun,nom_mun,cvegeo,cve_ageb,pobreza,pobreza_ext
13,Hidalgo,13069,Tizayuca,130690001004A,004A,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0069,"(50, 70)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0073,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0088,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,130690001011A,011A,"(50, 70)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0158,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0177,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0228,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0232,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0251,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,130690001029A,029A,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0317,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0321,"(50, 70)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0336,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0340,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0355,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0406,"(18, 34)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0891,"(70, 100)","(20, 50)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0980,"(34, 50)","(0, 20)"
13,Hidalgo,13069,Tizayuca,130690002050A,050A,"(50, 70)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0514,"(70, 100)","(0, 20)"
13,Hidalgo,13069,Tizayuca,1.3069E+12,0919,"(70, 100)","(20, 50)"
